id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
M2DD1,S053,Home Office / Study (A room in a house used for work),6,6,Yes,A person is laughing and leaving a book on the desk.,book;chair;desk;table,"A person is sitting a desk reading a book. The person starts laughing, closes the book, gets up, and pushes in the chair before walking away.;A person is sitting at a table reading a book. The person smiles while reading.",c032 0.00 30.70;c149 25.00 31.30;c152 25.00 31.30;c011 0.00 30.20;c154 26.70 32.00;c059 0.00 31.00;c025 21.00 27.40;c014 0.00 30.70,31.62
XDT45,ID9V,Recreation room / Man cave,7,7,Yes,A person awakens and gets out of bed. They begin tidying the bed then leave out the door.,bed;blanket;door,"A person is sleeping on a bed. The person wakes up and gets out of the bed, tidying up the bed afterwards. The person walks out of the room, only to return a moment later.",c134 0.00 9.20;c135 4.70 12.50;c133 0.00 12.40;c146 0.00 11.70;c154 9.40 34.00;c075 12.70 26.80,33.46
8NW4J,YA10,Bedroom,7,7,Yes,"A person is snuggling with a pillow and blanket, then putting away dirty clothes in a bedroom.",basket;bed;blanket;clothes;doorway;hamper;pillow;towel,"A person is lying on a bed holding a pillow.  They get up, pick up some clothes and put them in a hamper. They pick up the hamper and leave.;Person is lying in bed and removes the blanket and places it on the end of the bed.  Person then gathers clothes into a basket and walks away.",c077 0.00 5.40;c001 10.50 16.60;c003 10.50 16.60;c133 0.00 5.60;c076 0.00 3.10;c078 0.00 3.90;c002 7.80 25.90;c154 20.20 26.00;c134 0.00 3.70;c036 20.20 25.40;c097 28.50 32.00;c072 0.00 2.90;c000 8.10 32.00;c070 1.70 8.50;c071 3.60 8.50,31.00
1ZB73,6RE8,Home Office / Study (A room in a house used for work),6,7,Yes,A person is laughing at a picture hanging on the wall of the garage. The person sits at a table and begins playing a game on their laptop.,chair;desk;lap top computers;laptop;picture;table;tv,"A young person watching TV and laughing at something and then getting up and walking over to a lap top computer and working on it.;A person is sitting at a table, pointing at a picture and laughing. The person gets up and moves to another chair at the table to work on a laptop.",c085 0.00 8.30;c052 8.50 31.00;c151 5.20 12.80;c011 9.10 31.00;c149 0.00 8.90;c154 3.60 8.60;c059 9.00 31.00;c014 0.00 7.50,30.50
Z1ZUI,UO0Z,Bedroom,6,7,Yes,"A person is lying on a on the ground, relaxing with their head on a pillow. They stand up to grab a blanket, sneezing loudly in the process.",blacnket;blanket;floor;head;pillow;sofa,Person lying on the floor on a pillow get up and picks up a blanket from the sofa then puts it back down.;A person is lying down with their head on a pillow.  The person stands up and picks up some blankets and pillows.,c070 10.50 17.80;c071 13.80 18.00;c154 5.50 12.00;c124 0.00 9.80;c146 4.30 9.80;c073 9.60 14.90;c074 14.10 18.00,16.83
VIDIE,P6LJ,Recreation room / Man cave,7,5,Yes,"A person is holding a pair of shoes and a camera. The person sets the camera down on the desk, and throws the pair of shoes into the corner.",camera;corner;desk;phone;shoe;table,"The person turned on the camera, picked up shoes, and toss them in the corner.",c053 2.00 22.00;c054 18.00 25.90;c058 18.00 25.90;c016 24.80 29.00;c012 13.30 20.20;c154 1.80 7.00;c017 0.00 29.00,27.75
H8UJ3,P6LJ,Dining room,7,7,Yes,"A person turns on the lights to the dining room.  Smiling, the person sits down on a chair and begins reading a book.",book;chair;light;table,The person turned on the light.  The person sate in the chair.  The person opened the book and started studying.  The person got up and came to the camera.,c027 15.10 23.10;c104 0.00 8.60;c151 8.80 16.50;c032 18.30 49.90;c059 9.10 17.50;c154 45.60 50.70;c011 11.60 50.20,52.58
48BUM,ZAWX,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,"A person awakens at a desk, with homework in front of them. The person yawns and sneezes.",blanket;book;desk;hair;homework;paper;table,"A person is sitting at a desk doing their homework. A person then fixes their hair, and begins to sneeze.;A person is sitting at a table doing homework. The person stands up, messes with their hair, and sneezes.",c145 0.00 12.40;c153 17.30 23.60;c154 8.00 13.50;c059 0.00 12.00;c011 0.00 12.30;c144 14.10 19.60;c070 15.90 21.30;c032 0.00 11.50;c026 0.00 12.60,30.58
ATUOW,QOQ4,Home Office / Study (A room in a house used for work),6,6,Yes,"A person is tidying up in their office. The person puts papers on their shelf, then holds their hand out to open the cabinet as the person stands to reach it.",chair;desk;papers;shelf;table,A person is sitting at a desk tidying up papers they put them on a shelf and pick up a book and put it on the shelf. then they get up.;A person is tidying up their desk then bends down to pick something down from the floor.,c154 28.80 37.00;c011 0.00 33.00;c012 0.00 37.00;c014 0.00 37.00;c081 12.30 20.00;c059 0.00 32.60,35.58
0UQU6,6NQX,Bedroom,7,5,Yes,"A person awakens in bed, grasps their laptop from nearby, grabs a box, and leaves.",bed;blanket;box;doorway;eyewear;glasses;laptop,"The person woke up, put on eyewear, looked at laptop, picked up a white box then left the room.;A person is laying in bed covered with a blanket.  The person sits up, puts on glasses and picks up a laptop. Then the person picks up a box from a table and walks through a doorway.",c047 0.00 3.10;c134 0.00 2.50;c040 0.00 18.00;c146 9.90 17.00;c097 12.00 18.00;c050 7.20 13.40;c135 2.80 11.50;c043 10.70 16.00;c154 10.00 15.80;c072 0.00 7.80,17.04
2FW38,MX1B,Home Office / Study (A room in a house used for work),6,6,Yes,"A person in their home office is closing their door. They sit down in a chair and start working on their laptop, while grasping a broom in their left hand.",broom;chair;door;duster;laptop;table,A person closes the door then sits down in a chair and uses a laptop while holding a duster.,c059 8.50 32.00;c052 12.50 32.00;c006 0.00 7.30;c151 0.00 12.50;c098 10.50 32.00;c154 0.00 9.80;c011 7.90 32.00;c008 0.00 3.80,30.50
IYVVM,YA10,Garage,6,7,Yes,A person is washing a chair then they stand up to walk over to a phone that's on the floor.,chair;cloth;floor;phone,"A person squatting down clean on a chair.The person walks over and bends over and picks up a phone and starts looking at the phone.;This person is cleaning a chair, stands up, picks up a phone and plays with it.",c015 25.00 31.00;c016 25.00 31.00;c018 23.40 28.60;c154 19.20 24.20;c000 0.00 21.70,30.54
JUI9U,X5XO,Dining room,7,7,Yes,Person smiling as he/she opens the refrigerator while taking of his/her shoes.,boots;door;refrigerator;shoe,"A person opens a refrigerator door. That person kneels down, unlaces and removes their boots. They stand up.",c057 1.70 28.70;c143 0.00 3.40;c152 0.80 9.90;c154 20.10 27.20;c008 0.00 3.10,31.04
8ASRQ,L4ZP,Living room,6,6,Yes,"After removing his shoes, the person stood abruptly and threw his book and homework in the corner eager to be done with school for the day.",book;clothes;paper;phone;picture;shoe,"A person is sitting down untying both of their shoes before getting up, throwing a book and then leaving the room.;A person takes off shoes while sitting on a chair.",c031 12.00 17.00;c154 14.00 19.00;c030 11.50 19.00;c117 11.50 19.00;c057 0.00 15.40;c148 0.00 15.30,18.12
A6UKL,DXDI,Living room,6,7,Yes,"One person throws down their homework, then fixes a camera by a window before leaving the room.",camera;chair;homework;paper/notebook;phone;shelf;sofa/couch,A person is holding their homework and puts it on a chair. A person then begins playing with a camera.;A person is walking to a shelf picks up a camera and then puts it down again and leaves the room,c015 7.10 25.20;c151 5.70 12.50;c081 14.80 23.40;c016 4.00 23.70;c017 16.60 23.60;c123 4.50 23.80;c154 19.60 24.70;c115 0.00 4.70;c116 0.00 5.40,25.42
J3ZQS,2RTW,Living room,6,6,Yes,A person opens a bag and puts their homework inside. The person takes a drink of their coffee and leaves the room.,backpack;bag;book;coffee;cup;glass;homework;paper;sofa;table,"A person sitting on a sofa grabs a backpack and takes out their homework. The person tidies the homework and puts in the bag. The person drinks from a cup of coffee, and then grabs the bag and leaves the room.;There is a person sitting on a sofa with a bag.  That person takes homework out of the bag and puts it back.  That same person drinks coffee from a mug.;A person sitting on a sofa takes a book out of a bag and puts it and some homework from a table in front of them back into the bag. They take a sip of coffee and then leave.",c115 11.50 21.10;c123 0.00 34.00;c154 29.60 36.70;c106 25.90 33.80;c110 25.10 29.90;c116 4.60 24.30;c145 8.50 23.10;c023 0.00 4.10;c117 5.80 11.20;c021 1.30 7.50;c009 28.80 34.00;c011 0.00 35.40;c116 18.10 27.00,39.00
QRZK5,T7C3,Living room,6,7,Yes,"A person lying on their living room floor, eating a sandwich while watching TV and doing their homework, suddenly runs to a cabinet and retrieves a box.",book;box;dishes;floor;food;homework;plate;sandwich;television,"A person is lying on floor eating a sandwich, doing homework in a book and watching television, then puts a dish in a box;A person watching television and eating a sandwich while laying on the floor and reading book,after a while the person gets up to grab a box.",c040 35.30 41.00;c065 12.10 18.70;c132 5.30 13.30;c132 12.90 19.70;c043 34.30 41.00;c067 0.00 41.00;c156 10.70 15.70;c154 33.10 37.50;c032 0.00 33.10;c124 0.00 35.10;c061 8.10 14.50,39.62
XWQ3Z,PO5L,Hallway,6,5,Yes,A person is lying on a pile of clothes throwing pillows.,clothes;floor;pillow,A  person is lying on the floor and throws two pillows.;The person lays down in the hallway on a pile of clothes before grabbing two pillows and throwing them.,c076 1.00 13.60;c079 1.10 6.70;c080 6.40 14.50;c154 11.60 18.20;c124 0.00 16.40;c127 2.00 15.00;c151 1.00 7.40;c125 11.60 16.60,18.25
6QDZI,ZAWX,Bedroom,6,5,Yes,A person snuggles up to a towel in bed. The person opens a book and begins reading.,bed;book;towel,"The person is laying on the bed sleeping. The person sits up, grabs a towel, and wipes their face with it. The person then stands up and grabs a book. The person sits down on the bed and starts reading the book.",c026 12.70 18.60;c030 12.40 18.50;c134 0.00 5.80;c154 10.50 16.50;c027 14.30 19.90;c032 15.70 31.00;c135 16.50 31.00;c133 1.10 14.20;c036 8.80 13.80;c038 5.20 12.50;c035 3.60 9.20;c133 28.50 31.00;c036 28.50 31.00;c038 28.50 31.00;c035 28.50 31.00,30.50
UJ69X,CCI9,Stairs,7,5,Yes,"One person runs up the stairs drinking, then sneezes and throws down a stack of homework on a desk at the top of the stairs.",homework;paper;table,A person is walking up stairs holding homework then places it on a table.;A person is walking up the stairs then they set some papers on a small table.,c116 17.00 24.20;c009 17.00 24.20;c154 0.00 32.00;c115 0.00 23.90,31.29
S6MPZ,EA2K,Home Office / Study (A room in a house used for work),6,6,Yes,A person is eating at the desk and lying the phone down.,chair;desk;food;phone;plate;snacks;table,"A person in a blue shirt is eating snacks off a glass table and having a conversation with somebody over the phone.;The person sitting on the chair by the desk eating food making phone call,finished with the phone hanged up the phone.",c009 0.00 4.30;c011 0.00 39.00;c015 0.00 39.00;c019 0.00 39.00;c156 0.00 30.70;c059 0.00 39.00;c061 0.00 8.00;c061 5.00 11.50;c017 0.00 35.50;c063 0.00 3.70,38.46
BDFDE,YMXV,Bedroom,6,6,Yes,A person is walking toward a chair. They sit in the chair and take some medicine.,chair;cup/glass/bottle;medicine,A person sits down on a chair and takes some medicine. The person then drinks some water.,c059 7.30 33.00;c151 5.40 11.20;c129 17.30 28.90;c106 20.50 29.80;c107 10.50 33.00,31.54
PSPMA,BYF9,Living room,7,7,Yes,"A person is seen watching television as they put on their shoes. They start laughing, then take a bit out of their food.",chair;dish;food;shoe;television,A person sitting in a chair watching television puts on shoes and then eats food.,c055 2.50 30.30;c061 23.40 32.00;c063 20.40 28.80;c156 24.90 32.00;c132 0.00 32.00;c059 0.00 32.00;c119 0.00 6.50;c120 21.30 27.40;c062 25.20 32.00;c118 21.90 32.00,31.25
DWHPO,D0RU,Dining room,7,7,Yes,A person is sitting and smiling at another person who has a bag of food.,bag;chair;food;phone/camera;table,People sitting at a table eating food one take something out of a bag other person pick it up.;Two people are sitting in chairs at a table eating something. One person removes some food from their bag and places it on the table. The second person picks up the food.,c062 3.20 14.00;c063 1.30 7.60;c059 0.00 31.00;c011 0.00 31.00;c009 10.50 14.90;c020 8.80 15.10;c018 27.40 31.00;c017 15.70 21.30;c156 26.90 31.00;c015 3.90 8.80,30.42
H603E,LTAC,Basement (A room below the ground floor),7,7,Yes,A person is reading a book while working on their laptop. The person puts the book down and starts eating.,book;chair;floor;food;laptop;paper;sandwich;table,"A person is sitting in a chair looking at a paper, while working on a laptop.;The person is sitting and looking through some paper. The person then types something on a keyboard. They do this two times, put the paper on the ground, then eat something",c026 0.00 28.90;c027 0.00 8.00;c032 0.00 28.40;c051 0.00 33.00;c059 0.00 33.00;c116 20.70 29.00;c115 0.00 7.50;c115 8.80 23.80;c052 3.20 15.10;c156 26.50 33.00;c014 0.00 33.00;c126 23.60 28.50;c061 24.40 33.00;c063 24.70 31.30;c145 0.00 27.40;c067 27.10 33.00;c011 0.00 33.00,32.33
83654,2RTW,Bedroom,6,6,Yes,"A person puts a sandwich down onto a desk. The person sits down at the desk, and opens a box.",box;chair;desk;dish;sandwich;table,"A person walks over to a desk carrying a plate with a sandwich on it sits down in the chair takes a box off of the desk and opens it.;Person walks in, sits down, and begins to look at a pair of shoes.This person carries a sandwich into their room and places it on the desk.",c011 10.30 31.00;c151 5.00 15.10;c041 17.70 27.30;c009 6.10 12.80;c059 8.20 14.90;c067 0.00 10.10;c118 0.00 9.90;c068 0.00 13.10;c040 13.40 31.00;c119 0.00 12.60,29.83
U3OJV,0KZ7,Living room,7,7,Yes,A person is drinking coffee and grasping a phone with their other hand.,chair;coffee;cup;phone;water,"A person is sitting in a chair, drinking from a glass and looking at a phone.;A person is sitting in a chair holding a cup and a phone. They drink water from the cup.",c015 0.00 29.00;c106 0.00 29.00;c059 0.00 29.00;c016 0.00 29.00;c107 0.00 29.00,27.67
XOMJ4,KFGP,Home Office / Study (A room in a house used for work),7,6,No,"A person is taking medicine out of the cabinet.  The person pours a tablespoon of the medicine and drinks it, then puts it back in the cabinet and sits in a chair.",cabinet;chair;cup/glass/bottle;medicine;table,"The person approach a desk and sets down a spoon. Then the person opens the drawer and pulls out a bottle of medicine. Proceeds, pouring the medicine into the spoon and drinks it, then puts the medicine back into the drawer. Finally the person sits down in the chair.",c128 0.50 7.80;c129 0.30 19.00;c112 15.70 23.50;c151 19.20 24.80;c128 0.90 24.20;c059 19.50 30.00;c113 0.00 6.30;c009 0.20 5.60;c108 6.10 13.20;c011 20.50 25.40;c109 16.70 22.50;c107 2.30 22.00;c110 1.90 22.00,28.79
MZOPX,4YWP,Dining room,6,6,Yes,A person is playing on their new laptop and then washes a glass they used earlier.,book;chair;cup;dish;glass;homework;laptop;sink;table;television,"A person is working on a laptop, then they pick up a glass walk over to a sink and wash it;A person is on their laptop.  The person is viewing the laptop.  The person then gets up, goes to the sink, and begins washing a glass.",c151 16.80 24.60;c052 0.00 19.20;c111 23.60 37.00;c121 22.30 37.00;c059 0.00 21.70;c011 0.00 24.30;c014 0.00 22.10;c051 0.00 22.10,36.46
VLE11,4YWP,Dining room,6,6,Yes,"A person is at a dining room table playing with a television remote, they then put the remote down and open up their homework book.",book;chair;homework;paper;phone;remote;table;television,"A person is sitting at a table playing with a phone, they then begin to work on homework.;A person is sitting at a table holding a remote control. They change the TV channel, then put the remote down and start working on homework.",c027 22.20 29.70;c145 22.00 34.00;c011 0.00 34.00;c059 0.00 34.00;c014 22.70 34.00;c016 0.00 15.30;c117 21.20 29.40;c017 19.70 24.90;c015 0.00 24.70;c115 28.80 34.00;c028 21.00 26.90;c009 20.10 24.90;c032 24.50 34.00,33.08
FO2RD,1OHU,Garage,7,7,Yes,A person smiles as they work on homework at a table. The person eats from a bag of chips.,chair;drawing;food;paper/notebook,A person is sitting down drawing while eating food.,c059 0.00 30.00;c061 0.00 30.00;c156 0.90 18.60;c145 27.20 30.00,29.04
RANB1,DJ17,Bedroom,6,6,Yes,A person is undressing in the mirror while a other person is lying in bed.,bed;chair;clothes;mirror;pillow,"A person sitting in a chair gets undressed while looking in a mirror. They throw their clothes on the bed.;A person is sitting in a chair in front of a table and mirror, taking off a shirt. The person then puts the shirt on a bed.",c096 0.00 34.00;c059 0.00 34.00;c155 0.00 22.00;c003 19.40 25.90;c001 20.70 25.90;c078 19.30 33.60;c134 18.30 34.00;c000 13.00 25.60,32.67
QDINO,KFGP,Dining room,7,7,Yes,A person is lying on a pillow and then sneezing on dishes on a table in the dining room.,blanket;chair;pillow;table,A person is sitting at a table snuggling with a pillow. The person sneezes.,c078 0.00 17.70;c011 0.00 26.00;c153 19.30 25.70;c070 0.00 15.80;c059 0.00 26.00;c072 0.00 15.50;c071 12.00 17.60,25.42
D8QFD,DXDI,Home Office / Study (A room in a house used for work),6,7,Yes,Person is playing on the phone near a window and smiling while he plays.,chair;phone,A person sits in a chair while playing on their phone.;a person sits in a chair using their phone,c016 0.00 31.00;c152 0.00 8.50;c059 0.00 31.00;c015 0.00 31.00,30.42
0YXN6,JVLO,Kitchen,6,7,Yes,A person is smiling while reading a book.  Another person standing in the doorway sneezes and blows their nose.,book;chair;hands,"A person flips through a notebook. A person smiles to another, who then sneezes and touches their nose;A person is sitting in a chair writing in a book while  another person is standing up sneezing",c026 0.00 21.50;c153 17.60 27.90;c059 0.00 21.50;c029 10.90 21.20;c032 0.00 21.20;c115 0.00 21.20;c152 10.90 21.20;c149 10.90 32.00,31.38
2BUDH,KQI6,Living room,6,6,Yes,One person was grasping for some food. And then they started drinking in the light.,chair;cup;dish;glass;table;water,"A person walks in the room carrying some dishes. They place the dishes on a table and sit down in the chair.  Then they pick up a glass, pour water in it and take a drink.;A person is walking into the living room with something in her hand. They sit down and take a drink of water from a glass",c108 20.70 25.50;c151 11.70 17.50;c119 8.00 14.10;c059 13.70 31.00;c118 4.00 12.00;c107 20.10 31.00;c110 4.40 18.10;c011 13.20 31.00;c106 21.50 31.00;c119 3.80 16.60;c009 10.80 16.70,29.83
A4SR3,QB52,Recreation room / Man cave,6,7,Yes,A person is eating while watching television. The person begins laughing and places their food on the table.,bowl;chair;dish;food;spoon;table,A person is eating with a bowl and spoon sitting in a chair.  The person enjoys this food and smiles.  The person then puts away the bowl and spoon.;A person is eating some food from a bowl while sitting.  The person puts the food aside and smiles.,c061 0.00 21.20;c062 17.10 23.80;c156 0.00 16.40;c149 12.30 31.00;c059 0.00 31.00;c152 13.30 31.00;c118 0.00 23.30,30.04
A9BDS,2Q9D,Dining room,6,6,Yes,A person is standing over the sink. The person carries a bag into the dining room and sets it on the table before sitting down and pouring himself a drink.,bag;chair;cup/glass/bottle;juice;sink;table,A man is by a sink and takes a bag of groceries and sets them on a table. Then he pours himself some juice and drinks it.,c011 10.10 33.00;c020 2.30 8.40;c151 9.80 15.70;c107 11.00 32.60;c110 10.60 16.00;c110 16.50 21.20;c022 7.30 14.60;c023 0.90 7.30;c059 10.70 33.00;c106 19.90 31.50;c009 9.00 14.10;c009 16.20 21.20;c108 13.50 19.70;c109 16.20 21.20;c107 10.90 20.50,32.17
5IOQB,SIZN,Basement (A room below the ground floor),6,6,Yes,A person is laughing as they watch a video on their laptop. The person takes a drink from a glass of water.,chair;cup;glass;laptop;water,A person sitting in a chair laughs at something on their laptop. They drink a glass of water.;A person is sitting in a chair watching a laptop and laughing they take a drink of water,c051 0.00 21.80;c106 17.80 25.50;c149 9.00 20.00;c059 0.00 29.00;c047 0.00 29.00;c052 0.00 29.00;c152 9.50 21.00;c107 14.10 27.50,28.42
40TYU,2Q9D,Dining room,6,7,Yes,"A person is sitting in a chair holding a box of food.  The person opens the box and pours its contents onto some dishes, then throws the box onto the floor.",box;chair;dish;food;table,A person is sitting at a table and pours food out of a box onto a plate and throws the box.,c045 9.70 14.60;c059 0.00 28.00;c062 3.80 13.00;c011 0.00 28.00;c118 11.40 28.00,26.79
73NG4,2Q9D,Kitchen,6,7,Yes,"A person is pouring a drink that they got from a refrigerator, holding the cup they take a seat at a table.",chair;cup;food;glass;refrigerator;table,"A person walks into the kitchen, opens the fridge, pours a glass of juice, then sits at the table and drinks it.",c108 5.70 13.10;c142 14.20 20.00;c151 21.10 27.80;c143 0.00 5.80;c011 21.90 33.00;c062 6.00 12.40;c106 24.10 30.70;c107 15.50 33.00;c059 21.70 33.00;c110 2.60 7.80,32.04
VSO80,YA10,Kitchen,7,7,Yes,A person walks into the kitchen and takes some food out of the refrigerator.  They eat the food and close the refrigerator before sitting down in a chair.,chair;dish;food;fridge;plate;refrigerator,"A person opens a refrigerator door and gets some food out. The person begins eating and then sits down in a chair.;A person opens the fridge, takes out a plate, and starts eating, then sits down in a chair.",c142 7.40 12.90;c059 19.60 32.00;c063 5.10 12.50;c118 8.20 32.00;c061 7.80 32.00;c156 11.10 32.00;c151 17.70 32.00;c143 1.00 13.30,31.50
6HR54,BYF9,Dining room,6,6,Yes,"One person is at a chair at the table smiling and enjoying a cup of coffee, while another is tidying up the area.",chair;clothes;coffee;cup;dish;glass;table;towel,A younger person appears to be cleaning a table with a mitt on while an older person is sitting at the table and drinking out a glass.,c059 0.00 26.00;c107 0.00 26.00;c011 0.00 26.00;c106 0.00 26.00;c012 0.00 26.00;c013 0.00 26.00;c038 0.00 26.00;c038 0.00 4.20;c152 0.90 8.40;c118 0.00 26.00;c014 0.00 26.00,25.42
COPHL,EIO2,Living room,7,7,Yes,Person is awakening from falling asleep behind desk and opens book and starts doing homework.,book;chair;desk;homework;paper;pencil;table,"A young man woke up rubbed his face, opened a book, and started writing in it.;A person is sitting at a table. They open up a book on the table and start writing on it with a pencil.",c027 9.30 14.20;c145 13.70 31.00;c059 0.00 31.00;c014 9.50 31.00;c032 8.70 31.00;c146 2.80 12.70;c011 6.80 31.00,30.17
8DGUN,2RTW,Kitchen,6,6,Yes,The person is sitting in a chair by the stove cooking a recipe from the laptop.,chair;container;food;laptop;stove,"A person is in the kitchen using a laptop while cooking at the stove. The person opens a container, takes something out of it and compares it to the computer.",c059 0.00 34.00;c051 0.00 4.60;c147 9.20 32.00;c062 29.30 34.00;c061 22.10 32.00;c063 9.10 13.90,32.96
VTY0J,8718,Kitchen,7,7,Yes,"The person opens a refrigerator to get food, putting it in a microwave. They then sit down at a table and start playing on their phone while the food heats up.",chair;food;phone;refrigerator;table,A person grabs food from a fridge and sits in a chair with a phone.,c063 0.00 7.90;c015 21.10 35.00;c143 0.00 2.70;c151 19.20 24.40;c142 3.70 8.10;c059 20.10 35.00;c061 2.40 16.50;c016 20.10 35.00;c062 8.90 13.80;c011 19.10 35.00,33.62
Q24GF,PKND,Kitchen,6,6,Yes,A person is standing with a hand on the doorknob then turns on the light. Another person is sitting in a chair looking at a phone.,chair;fridge;phone;refrigerator;table,A person is sitting at a table in a chair looking at a phone while the other person is putting something into the refrigerator.;A person checks their phone while another opens the fridge.,c015 0.00 6.10;c059 0.00 31.00;c011 0.00 31.00;c143 13.40 26.10;c152 0.00 31.00;c142 20.40 26.10;c016 0.00 5.10,30.46
Y2QUJ,WG9D,Dining room,6,6,Yes,A person is eating a sandwich while brushing crumbs off their clothes. The person is grasping for a napkin because they are sneezing.,chair;food;sandwich;table,A person seated at a table eats a sandwich and then sneezes.,c065 0.00 3.90;c156 0.00 3.90;c153 1.00 7.00;c067 0.00 4.50;c063 0.00 4.20;c064 0.00 4.80;c069 0.00 4.30;c059 0.00 7.00;c011 0.00 7.00;c061 0.00 4.80;c062 0.50 4.80;c068 0.50 4.90,5.54
DC94A,ZAWX,Bedroom,6,6,Yes,A person is opening a cabinet and putting away groceries and then playing with a toy in a garage.,bag;cabinet;chair;door;groceries;shelf;toys,"A person puts groceries inside a cupboard. The person takes two stuffed toys from another cupboard, walks to a chair, sits in the chair, and plays with the toys.;A person places some items in a cabinet and plays with stuffed animals.",c112 5.70 14.40;c020 8.60 19.30;c151 12.20 21.40;c059 16.20 26.70;c113 0.00 5.50;c130 2.10 8.10;c081 1.80 8.20,30.25
AAH0C,9OK1,Bedroom,6,,No,A person is tidying their desk which sits under the window of the laundry room. The person pauses as they watch something out the window.,chair;clothes;desk;laptop;paper/notebook;something;table;window,A person places things in their desk and stares at their laptop.,c012 0.00 15.90;c116 0.00 9.50;c051 0.00 20.00;c059 0.00 20.00;c117 0.00 9.80,18.88
KTOJX,C7O9,Living room,6,6,Yes,A person was undressing his clothes and needed to sit down in the chair to take off his shoes when suddenly he began sneezing.,broom;chair;clothes;floor;jacket;pillow;shoe;sneakers;sofa;towel,A person is taking out there jacket before sitting on a chair. This person then starts to take there sneakers off but has to stop due to constant sneezing.;A person takes off a sweater and throws it on the couch. The person then sits down and sneezes multiple times.,c059 7.50 31.00;c053 9.50 14.70;c151 6.80 12.40;c123 7.20 31.00;c000 4.70 9.60;c155 0.00 10.50;c153 8.30 31.00;c001 4.90 9.60,29.79
NXM13,LX59,Living room,6,6,Yes,A person is lying down in a chair playing with a pillow as the person tosses it up into the air.,chair;pillow,A person is sitting in a chair playing with a pillow. They toss the pillow into the air several times.,c059 0.00 32.00;c080 0.00 32.00;c076 0.00 32.00,31.17
6FASX,D0RU,Living room,7,7,Yes,"A person stands on a chair in the closet, trying to reach something on a high shelf. The person gives up and gets down, then takes a drink from a glass of water.",chair;cup;glass;shelf;something;water,A person moves a chair into a room then stands on it to reach for something high up on a shelf. They then move the chair and sit down on it in front of the TV.,c107 25.80 34.00;c059 26.60 34.00;c060 5.10 25.00;c151 26.00 34.00;c082 8.00 22.00,33.08
Y4LT8,KQI6,Kitchen,6,7,Yes,One person is sitting by a refrigerator.  Another person is washing dishes.,chair;dish;food;purse;refrigerator;sink,"This person is sitting on a chair next to the refrigerator, takes out a purse, puts it back in the fridge, then the camera turns to a person washing dishes at the sink.;One person is opening a fridge and pulling out some food while another person washes a pot in the sink.  They both talk to each other.",c063 5.30 12.30;c120 17.60 24.90;c059 0.00 19.40;c142 10.10 16.10;c062 5.30 18.90;c143 1.30 6.20;c121 17.30 31.00;c147 17.30 31.00,29.88
E7TLO,C7O9,Closet / Walk-in closet / Spear closet,6,6,Yes,"A person walks into a closet and takes a camera off the shelf. A second person standing nearby, watching, walks to the closet and the person inside turns around a takes a picture.",camera;chair;phone;picture;shelf,"A person stands in a doorway while another person walks past into a closet, takes a camera off of a shelf and takes a picture.",c087 24.90 32.00;c015 2.40 27.50;c059 2.10 27.80;c151 0.90 6.40,30.54
04MTP,1OHU,Recreation room / Man cave,6,7,Yes,A person is sitting at their desk and laughing as they eat food.,bag;chair;computer;desk;food;table,"A person is sitting in an office chair eating chips, the person then rests his arm on a computer screen for a bit.;person sits in a chair and eats some chips  and laughs",c061 0.00 32.00;c011 0.00 32.00;c156 0.70 32.00;c020 0.00 32.00;c062 0.00 32.00;c063 0.00 32.00;c059 0.00 32.00,31.38
01ZWG,6RE8,Recreation room / Man cave,6,5,Yes,"A person puts a laptop down onto a desk. The person sits at the desk, opens the laptop, and begins playing a game.",chair;desk;game;laptop;table,"A person sets their laptop down on a table, sits down, opens it, and begins working on it and smiling;a person opening a laptop, sitting in a seat then playing video games.",c048 4.90 11.00;c011 7.20 13.50;c151 7.20 13.20;c059 7.00 34.00;c152 30.20 34.00;c009 4.20 10.20;c051 11.60 18.90;c014 18.50 33.70,32.75
WJ1GN,ZAWX,Living room,6,4,Yes,"A person is standing in front of a desk playing with a deck of cards.  The person tidies up the cards and puts them back into their box, then puts the box in a bag.  The person turns off the light and walks out.",bag;box;cards;chair;table,A person is places cards into a box on a table.;A person is sitting in a chair holding some cards. They take some cards off the table and put them in a box. Then they grab a bag and put the box inside the bag.,c041 8.10 18.10;c020 14.70 31.00;c009 1.00 31.00;c059 0.00 31.00;c011 0.00 31.00;c039 8.70 18.70,29.96
8Y7P5,0KZ7,Garage,7,7,Yes,A person is eating while sitting in a chair while another is running out a doorway.,chair;door;food;sandwich,One person runs out of the garage while another stays sitting in the garage and eats.;One person ran out of the door and the other person sat on a chair and ate a sandwich.,c059 0.00 30.00;c156 2.20 30.00;c150 0.00 5.00;c061 0.00 30.00;c065 2.00 30.00,28.75
